::ffff:127.0.0.1 - - [22/Jan/2022:17:43:48 +0000] "GET /api/search/1/5/3 HTTP/1.1" 200 2
::1 - - [22/Jan/2022:17:43:59 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:47:17 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:50:56 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:51:25 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:52:01 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:52:03 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:52:04 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:52:05 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:52:05 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:52:05 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:52:43 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:52:43 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:17:58:05 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:58:06 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:17:58:47 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:58:48 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:17:59:05 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:17:59:05 +0000] "GET /api/stores HTTP/1.1" 200 541
::1 - - [22/Jan/2022:18:03:04 +0000] "GET /assets/css/estilos.css HTTP/1.1" 404 161
::1 - - [22/Jan/2022:18:03:05 +0000] "GET /api/stores HTTP/1.1" 200 541
